0,1,2,3,guid,datePublished
F41,A,9.0,16.0,US-0016860-A,1857-03-17 00:00:00+00:00
F41,A,9.0,16.0,US-0023258-A,1859-03-15 00:00:00+00:00
F41,A,9.0,16.0,US-0025929-A,1859-10-25 00:00:00+00:00
F41,A,9.0,16.0,US-0071592-A,1867-12-03 00:00:00+00:00
F41,A,9.0,16.0,US-0202174-A,1878-04-09 00:00:00+00:00
F41,A,9.0,16.0,US-0209011-A,1878-10-15 00:00:00+00:00
F41,A,9.0,16.0,US-0301811-A,1884-07-08 00:00:00+00:00
F41,A,9.0,16.0,US-0310038-A,1884-12-30 00:00:00+00:00
F41,A,9.0,16.0,US-0311974-A,1885-02-10 00:00:00+00:00
F41,A,9.0,16.0,US-0383768-A,1888-05-29 00:00:00+00:00
F41,A,9.0,16.0,US-0397310-A,1889-02-05 00:00:00+00:00
F41,A,9.0,16.0,US-0417145-A,1889-12-10 00:00:00+00:00
F41,A,9.0,16.0,US-0419289-A,1890-01-14 00:00:00+00:00
F41,A,9.0,16.0,US-0536154-A,1895-03-19 00:00:00+00:00
F41,A,9.0,16.0,US-0646369-A,1900-03-27 00:00:00+00:00
F41,A,9.0,16.0,US-0653071-A,1900-07-03 00:00:00+00:00
F41,A,9.0,16.0,US-0654444-A,1900-07-24 00:00:00+00:00
F41,A,9.0,16.0,US-0658244-A,1900-09-18 00:00:00+00:00
F41,A,9.0,16.0,US-0668083-A,1901-02-12 00:00:00+00:00
F41,A,9.0,16.0,US-0668984-A,1901-02-26 00:00:00+00:00
F41,A,9.0,16.0,US-0669896-A,1901-03-12 00:00:00+00:00
F41,A,9.0,16.0,US-0670717-A,1901-03-26 00:00:00+00:00
F41,A,9.0,16.0,US-0679632-A,1901-07-30 00:00:00+00:00
F41,A,9.0,16.0,US-0697126-A,1902-04-08 00:00:00+00:00
F41,A,9.0,16.0,US-0704955-A,1902-07-15 00:00:00+00:00
F41,A,9.0,16.0,US-0704985-A,1902-07-15 00:00:00+00:00
F41,A,9.0,16.0,US-0786252-A,1905-03-28 00:00:00+00:00
F41,A,9.0,16.0,US-0809455-A,1906-01-09 00:00:00+00:00
F41,A,9.0,16.0,US-0811797-A,1906-02-06 00:00:00+00:00
F41,A,9.0,16.0,US-0895481-A,1908-08-11 00:00:00+00:00
F41,A,9.0,16.0,US-0938560-A,1909-11-02 00:00:00+00:00
F41,A,9.0,16.0,US-1033233-A,1912-07-23 00:00:00+00:00
F41,A,9.0,16.0,US-1040210-A,1912-10-01 00:00:00+00:00
F41,A,9.0,16.0,US-1040339-A,1912-10-08 00:00:00+00:00
F41,A,9.0,16.0,US-1071606-A,1913-08-26 00:00:00+00:00
F41,A,9.0,16.0,US-1084947-A,1914-01-20 00:00:00+00:00
F41,A,9.0,16.0,US-1090093-A,1914-03-10 00:00:00+00:00
F41,A,9.0,16.0,US-1094128-A,1914-04-21 00:00:00+00:00
F41,A,9.0,16.0,US-1094130-A,1914-04-21 00:00:00+00:00
F41,A,9.0,16.0,US-1098261-A,1914-05-26 00:00:00+00:00
F41,A,9.0,16.0,US-1179643-A,1916-04-18 00:00:00+00:00
F41,A,9.0,16.0,US-1182986-A,1916-05-16 00:00:00+00:00
F41,A,9.0,16.0,US-1182988-A,1916-05-16 00:00:00+00:00
F41,A,9.0,16.0,US-1182989-A,1916-05-16 00:00:00+00:00
F41,A,9.0,16.0,US-1182990-A,1916-05-16 00:00:00+00:00
F41,A,9.0,16.0,US-1185249-A,1916-05-30 00:00:00+00:00
F41,A,9.0,16.0,US-1188628-A,1916-06-27 00:00:00+00:00
F41,A,9.0,16.0,US-1188629-A,1916-06-27 00:00:00+00:00
F41,A,9.0,16.0,US-1188630-A,1916-06-27 00:00:00+00:00
F41,A,9.0,16.0,US-1188631-A,1916-06-27 00:00:00+00:00
F41,A,9.0,16.0,US-1304583-A,1919-05-27 00:00:00+00:00
F41,A,9.0,16.0,US-1310143-A,1919-07-15 00:00:00+00:00
F41,A,9.0,16.0,US-1310890-A,1919-07-22 00:00:00+00:00
F41,A,9.0,16.0,US-1310891-A,1919-07-22 00:00:00+00:00
F41,A,9.0,16.0,US-1315609-A,1919-09-09 00:00:00+00:00
F41,A,9.0,16.0,US-20180313620-A1,2018-11-01 00:00:00+00:00
F41,A,9.0,16.0,US-2499271-A,1950-02-28 00:00:00+00:00
F41,A,9.0,16.0,US-2785607-A,1957-03-19 00:00:00+00:00
F41,A,9.0,16.0,US-2655079-A,1953-10-13 00:00:00+00:00
F41,A,9.0,16.0,US-4079659-A,1978-03-21 00:00:00+00:00
F41,A,9.0,16.0,US-4038906-A,1977-08-02 00:00:00+00:00
F41,A,9.0,16.0,US-4823675-A,1989-04-25 00:00:00+00:00
F41,A,9.0,16.0,US-4700609-A,1987-10-20 00:00:00+00:00
F41,A,9.0,16.0,US-4690031-A,1987-09-01 00:00:00+00:00
F41,A,9.0,16.0,US-4527459-A,1985-07-09 00:00:00+00:00
F41,A,9.0,16.0,US-4429616-A,1984-02-07 00:00:00+00:00
F41,A,9.0,16.0,US-4388854-A,1983-06-21 00:00:00+00:00
F41,A,9.0,16.0,US-5050479-A,1991-09-24 00:00:00+00:00
F41,A,9.0,16.0,US-5020415-A,1991-06-04 00:00:00+00:00
F41,A,9.0,16.0,US-4998458-A,1991-03-12 00:00:00+00:00
F41,A,9.0,16.0,US-4989494-A,1991-02-05 00:00:00+00:00
F41,A,9.0,16.0,US-5811721-A,1998-09-22 00:00:00+00:00
F41,A,9.0,16.0,US-5335580-A,1994-08-09 00:00:00+00:00
F41,A,9.0,16.0,US-5307726-A,1994-05-03 00:00:00+00:00
F41,A,9.0,16.0,US-5261310-A,1993-11-16 00:00:00+00:00
F41,A,9.0,16.0,US-5168121-A,1992-12-01 00:00:00+00:00
F41,A,9.0,16.0,US-5111730-A,1992-05-12 00:00:00+00:00
F41,A,9.0,16.0,US-7159504-B2,2007-01-09 00:00:00+00:00
F41,A,9.0,16.0,US-6679159-B1,2004-01-20 00:00:00+00:00
F41,A,9.0,16.0,US-6360646-B1,2002-03-26 00:00:00+00:00
F41,A,9.0,16.0,US-3106866-A,1963-10-15 00:00:00+00:00
F41,A,9.0,16.0,US-3238845-A,1966-03-08 00:00:00+00:00
F41,A,9.0,16.0,US-4838144-A,1989-06-13 00:00:00+00:00
F41,A,9.0,16.0,US-4860633-A,1989-08-29 00:00:00+00:00
F41,A,9.0,16.0,US-4898072-A,1990-02-06 00:00:00+00:00
