0,1,2,3,4
F41,A,9.0,59.0,US-10066885-B2
F41,A,9.0,59.0,US-10337812-B2
F41,A,9.0,59.0,US-10563941-B2
F41,A,9.0,59.0,US-10767944-B2
F41,A,9.0,59.0,US-1400252-A
F41,A,9.0,59.0,US-1452042-A
F41,A,9.0,59.0,US-20190257605-A1
F41,A,9.0,59.0,US-20190170462-A1
F41,A,9.0,59.0,US-20180245867-A1
F41,A,9.0,59.0,US-2636302-A
F41,A,9.0,59.0,US-5473834-A
F41,A,9.0,59.0,US-5435088-A
F41,A,9.0,59.0,US-5353537-A
F41,A,9.0,59.0,US-7373751-B1
F41,A,9.0,59.0,US-20080127539-A1
F41,A,9.0,59.0,US-20110277365-A1
F41,A,9.0,59.0,US-20220325987-A1
F41,A,9.0,59.0,US-2114821-A
F41,A,9.0,59.0,US-3355832-A
F41,A,9.0,59.0,US-9182184-B2
F41,A,9.0,59.0,US-9689632-B2
F41,A,9.0,59.0,US-9759505-B2
F41,A,9.0,59.0,US-D770589-S
