0,1,2,3,4
F41,C,7.0,6.0,US-0005141-A
F41,C,7.0,6.0,US-0015072-A
F41,C,7.0,6.0,US-0027393-A
F41,C,7.0,6.0,US-0027874-A
F41,C,7.0,6.0,US-0030714-A
F41,C,7.0,6.0,US-0046671-A
F41,C,7.0,6.0,US-0047088-A
F41,C,7.0,6.0,US-0048966-A
F41,C,7.0,6.0,US-0050048-A
F41,C,7.0,6.0,US-0050125-A
F41,C,7.0,6.0,US-0050358-A
F41,C,7.0,6.0,US-0054744-A
F41,C,7.0,6.0,US-0061722-A
F41,C,7.0,6.0,US-0067033-A
F41,C,7.0,6.0,US-0088470-A
F41,C,7.0,6.0,US-0088645-A
F41,C,7.0,6.0,US-0090614-A
F41,C,7.0,6.0,US-0091421-A
F41,C,7.0,6.0,US-0172008-A
F41,C,7.0,6.0,US-0180567-A
F41,C,7.0,6.0,US-0191862-A
F41,C,7.0,6.0,US-0197742-A
F41,C,7.0,6.0,US-0201216-A
F41,C,7.0,6.0,US-0209010-A
F41,C,7.0,6.0,US-0269546-A
F41,C,7.0,6.0,US-0284815-A
F41,C,7.0,6.0,US-0403959-A
F41,C,7.0,6.0,US-0654280-A
F41,C,7.0,6.0,US-0923113-A
F41,C,7.0,6.0,US-1059477-A
F41,C,7.0,6.0,US-1552347-A
F41,C,7.0,6.0,US-20160040956-A1
F41,C,7.0,6.0,US-2501137-A
F41,C,7.0,6.0,US-2484694-A
F41,C,7.0,6.0,US-2777234-A
F41,C,7.0,6.0,US-2776513-A
F41,C,7.0,6.0,US-2606383-A
F41,C,7.0,6.0,US-4570369-A
F41,C,7.0,6.0,US-5148619-A
F41,C,7.0,6.0,US-20060080880-A1
F41,C,7.0,6.0,US-20090100733-A1
F41,C,7.0,6.0,US-2125571-A
F41,C,7.0,6.0,US-2474456-A
F41,C,7.0,6.0,US-2478892-A
F41,C,7.0,6.0,US-3377730-A
F41,C,7.0,6.0,US-3377731-A
F41,C,7.0,6.0,US-3461731-A
F41,C,7.0,6.0,US-3561149-A
F41,C,7.0,6.0,US-3605312-A
F41,C,7.0,6.0,US-3621596-A
F41,C,7.0,6.0,US-3728810-A
F41,C,7.0,6.0,US-3747251-A
F41,C,7.0,6.0,US-3797153-A
F41,C,7.0,6.0,US-3797154-A
F41,C,7.0,6.0,US-3813803-A
F41,C,7.0,6.0,US-3830000-A
F41,C,7.0,6.0,US-3857324-A
F41,C,7.0,6.0,US-9328990-B2
F41,C,7.0,6.0,US-9625231-B1
F41,C,7.0,6.0,US-9897410-B1
