guid,datePublished
US-0000147-A,1837-03-11 00:00:00+00:00
US-0000147-A,1837-03-11 00:00:00+00:00
US-0000147-A,1837-03-11 00:00:00+00:00
US-0000147-A,1837-03-11 00:00:00+00:00
US-0000168-A,1837-04-17 00:00:00+00:00
US-0000182-A,1837-04-29 00:00:00+00:00
US-0000183-A,1837-04-29 00:00:00+00:00
US-0000188-A,1837-04-28 00:00:00+00:00
US-0000203-A,1837-05-22 00:00:00+00:00
US-0000216-A,1837-05-30 00:00:00+00:00
US-0000254-A,1837-07-05 00:00:00+00:00
US-0000274-A,1837-07-17 00:00:00+00:00
US-0000297-A,1837-07-29 00:00:00+00:00
US-0000328-A,1837-07-31 00:00:00+00:00
US-0000364-A,1837-08-31 00:00:00+00:00
US-0000409-A,1837-09-25 00:00:00+00:00
US-0000432-A,1837-10-20 00:00:00+00:00
US-0000461-A,1837-11-11 00:00:00+00:00
US-0000481-A,1837-11-23 00:00:00+00:00
US-0000603-A,1838-02-15 00:00:00+00:00
US-0000610-A,1838-02-15 00:00:00+00:00
US-0000629-A,1838-03-10 00:00:00+00:00
US-0000677-A,1838-04-05 00:00:00+00:00
US-0000698-A,1838-04-21 00:00:00+00:00
US-0000707-A,1838-04-24 00:00:00+00:00
US-0000713-A,1838-04-25 00:00:00+00:00
US-0000747-A,1838-05-25 00:00:00+00:00
US-0000832-A,1838-07-12 00:00:00+00:00
US-0000847-A,1838-07-19 00:00:00+00:00
US-0000865-A,1838-08-01 00:00:00+00:00
US-0000960-A,1838-10-03 00:00:00+00:00
US-0001084-A,1839-02-20 00:00:00+00:00
US-0001106-A,1839-03-16 00:00:00+00:00
US-0001134-A,1839-04-25 00:00:00+00:00
US-0001141-A,1839-05-03 00:00:00+00:00
US-0001304-A,1839-08-29 00:00:00+00:00
US-0001422-A,1839-12-05 00:00:00+00:00
US-0001461-A,1839-12-31 00:00:00+00:00
US-0001544-A,1840-04-08 00:00:00+00:00
US-0001565-A,1840-04-24 00:00:00+00:00
US-0001611-A,1840-05-19 00:00:00+00:00
US-0001810-A,1840-10-08 00:00:00+00:00
US-0001958-A,1841-01-30 00:00:00+00:00
US-0002203-A,1841-07-29 00:00:00+00:00
US-0002441-A,1842-02-01 00:00:00+00:00
US-0002594-A,1842-04-29 00:00:00+00:00
US-0003115-A,1843-06-01 00:00:00+00:00
US-0003649-A,1844-07-01 00:00:00+00:00
US-0003685-A,1844-07-30 00:00:00+00:00
US-0003686-A,1844-07-30 00:00:00+00:00
US-0003998-A,1845-04-16 00:00:00+00:00
US-0004208-A,1845-09-27 00:00:00+00:00
US-0004960-A,1847-02-05 00:00:00+00:00
US-0005141-A,1847-06-05 00:00:00+00:00
US-0005146-A,1847-06-05 00:00:00+00:00
US-0005316-A,1847-10-02 00:00:00+00:00
US-0005402-A,1847-12-18 00:00:00+00:00
US-0005656-A,1848-07-05 00:00:00+00:00
US-0005763-A,1848-09-12 00:00:00+00:00
US-0005814-A,1848-09-26 00:00:00+00:00
US-0006090-A,1849-02-06 00:00:00+00:00
US-0006124-A,1849-02-20 00:00:00+00:00
US-0006136-A,1849-02-20 00:00:00+00:00
US-0006139-A,1849-02-27 00:00:00+00:00
US-0006453-A,1849-05-15 00:00:00+00:00
US-0006514-A,1849-06-05 00:00:00+00:00
US-0006537-A,1849-06-19 00:00:00+00:00
US-0006612-A,1849-07-31 00:00:00+00:00
US-0006663-A,1849-08-21 00:00:00+00:00
US-0006669-A,1849-08-28 00:00:00+00:00
US-0006723-A,1849-09-18 00:00:00+00:00
US-0006871-A,1849-11-13 00:00:00+00:00
US-0006925-A,1849-12-04 00:00:00+00:00
US-0006945-A,1849-12-11 00:00:00+00:00
US-0006960-A,1849-12-18 00:00:00+00:00
US-0006964-A,1849-12-18 00:00:00+00:00
US-0006966-A,1849-12-25 00:00:00+00:00
US-0006973-A,1849-12-25 00:00:00+00:00
US-0007218-A,1850-03-26 00:00:00+00:00
US-0007300-A,1850-04-23 00:00:00+00:00
US-0007334-A,1850-04-30 00:00:00+00:00
US-0007360-A,1850-05-14 00:00:00+00:00
US-0007443-A,1850-06-18 00:00:00+00:00
US-0007493-A,1850-07-09 00:00:00+00:00
US-0007496-A,1850-07-09 00:00:00+00:00
US-0007547-A,1850-08-06 00:00:00+00:00
US-0007596-A,1850-08-27 00:00:00+00:00
US-0007613-A,1850-09-03 00:00:00+00:00
US-0007629-A,1850-09-10 00:00:00+00:00
US-0007802-A,1850-11-26 00:00:00+00:00
US-0007887-A,1851-01-07 00:00:00+00:00
US-0007894-A,1851-01-07 00:00:00+00:00
US-0008126-A,1851-05-27 00:00:00+00:00
US-0008210-A,1851-07-08 00:00:00+00:00
US-0008229-A,1851-07-15 00:00:00+00:00
US-0008317-A,1851-08-26 00:00:00+00:00
US-0008412-A,1851-10-07 00:00:00+00:00
US-0008528-A,1851-11-18 00:00:00+00:00
US-0008637-A,1852-01-06 00:00:00+00:00
US-0008690-A,1852-01-27 00:00:00+00:00
US-0008762-A,1852-02-24 00:00:00+00:00
US-0008982-A,1852-06-01 00:00:00+00:00
