child_guid,avg_span
US-10001331-B2,5973.0
US-10001332-B1,4941.125
US-10001335-B2,7148.666666666667
US-10001336-B2,11779.25
US-10001337-B2,9204.3
US-10001340-B1,17619.617647058825
US-10001342-B2,4264.235294117647
US-10001345-B2,2627.8
US-10003756-B2,6055.875
US-10004136-B2,7903.7
US-10004209-B2,6028.4
US-10005556-B2,5595.916666666667
US-10006727-B2,11800.90625
US-10006728-B2,3179.1666666666665
US-10006729-B2,10538.818181818182
US-10006736-B2,7898.625
US-10006739-B2,8958.444444444445
US-10006741-B2,3568.25
US-10006745-B2,4445.0
US-10012457-B2,8389.5
US-10012464-B2,8397.375
US-10012466-B2,10686.666666666666
US-10012469-B2,10328.5
US-10012470-B2,8158.5
US-10012472-B2,13643.0
US-10012533-B2,1253.0
US-10017250-B2,11067.0
US-10018433-B2,22641.5
US-10018434-B2,12226.0
US-10018435-B2,10421.444444444445
US-10018438-B2,5896.24
US-10018445-B2,3245.6666666666665
US-10018446-B2,
US-10018448-B2,7723.8
US-10018449-B2,
US-10024616-B2,2019.5
US-10024619-B2,8418.2
US-10024621-B2,5206.727272727273
US-10024628-B2,3823.076923076923
US-10024629-B2,10860.5
US-10024630-B2,5358.111111111111
US-10024634-B2,8101.333333333333
US-10025306-B2,
US-10030813-B2,
US-10030922-B2,10735.454545454546
US-10030939-B2,1776.8333333333333
US-10030940-B2,7252.0
US-10032387-B2,
US-10036603-B2,10301.2
US-10036606-B2,9598.4
US-10036608-B2,8932.0
US-10036612-B2,13848.625
US-10036613-B2,5527.2
US-10036799-B2,7784.0
US-10041752-B2,10774.076923076924
US-10041757-B2,6559.0
US-10041763-B2,5656.777777777777
US-10042360-B2,
US-10045561-B2,
US-10048028-B2,15321.6
US-10048029-B2,11715.052631578947
US-10048030-B2,4162.666666666667
US-10048043-B2,10181.266666666666
US-10051984-B2,4473.0
US-10053803-B2,4151.0
US-10054392-B2,8091.0
US-10054394-B2,1814.0
US-10054399-B2,4945.5
US-10054400-B2,3192.0
US-10054405-B2,8092.0
US-10057468-B2,6097.0
US-10059445-B2,4977.0
US-10060177-B2,7864.5
US-10060689-B2,12047.0
US-10060691-B2,4638.2
US-10060692-B2,6103.0
US-10060694-B2,10155.6
US-10060701-B1,8108.275
US-10060705-B2,4613.807692307692
US-10060706-B2,16109.153846153846
US-10061069-B2,4382.0
US-10062028-B2,
US-10062464-B2,8467.666666666666
US-10063522-B2,8634.5
US-10065095-B2,14706.0
US-10065718-B1,5413.333333333333
US-10065720-B2,8008.0
US-10066885-B2,9611.0
US-10066886-B2,12572.0
US-10066887-B1,1199.3333333333333
US-10066888-B2,1199.3333333333333
US-10066890-B1,15318.153846153846
US-10066892-B1,16806.5
US-10066893-B2,4886.0
US-10066897-B2,7535.95652173913
US-10066898-B1,15924.416666666666
US-10066900-B2,10296.222222222223
US-10066901-B2,6961.181818181818
US-10066903-B2,11638.117647058823
US-10066906-B2,10500.0
US-10066914-B2,
US-10067350-B1,
US-10070714-B2,4110.75
US-10072904-B2,9212.0
US-10072905-B2,4193.0
US-10072906-B2,4221.0
US-10072908-B2,10742.666666666666
US-10072909-B2,8624.0
US-10073277-B2,9028.25
US-10076146-B2,8746.5
US-10077957-B1,13896.4
US-10077966-B2,
US-10077968-B2,5610.5
US-10077969-B1,
US-10077971-B1,5519.5
US-10077972-B1,
US-10080423-B1,10484.5
US-10082351-B2,34867.0
US-10082353-B1,19036.5
US-10082354-B1,18441.5
US-10082355-B2,4925.0
US-10082356-B2,10826.29746835443
US-10082361-B2,8437.666666666666
US-10082362-B2,4072.7272727272725
US-10082364-B2,10612.518518518518
US-10082365-B2,12710.25
US-10083592-B1,3059.0
US-10088257-B2,7768.25
US-10088258-B1,
US-10088260-B1,
US-10088261-B1,10322.083333333334
US-10088262-B2,6373.5
US-10088266-B1,9455.25
US-10088267-B2,13657.0
US-10088269-B2,16466.333333333332
US-10088272-B2,8680.0
US-10088274-B2,10694.5
US-10088275-B1,6751.5
US-10088276-B2,9775.76923076923
US-10088280-B2,7485.1
US-10094630-B1,9548.0
US-10094632-B2,15160.25
US-10094633-B2,5082.538461538462
US-10094635-B2,9993.941176470587
US-10094636-B1,3079.125
US-10094639-B2,8092.0
US-10097764-B2,5687.0
US-10098441-B1,5626.727272727273
US-10100547-B1,
US-10100896-B2,
US-10101105-B1,9149.0
US-10101107-B1,
