,guid,safe,security,secure,safety,keyword
0,US-0000147-A,0,0,0,0,
1,US-0000168-A,0,0,0,0,
2,US-0000182-A,0,1,0,0,
3,US-0000183-A,0,0,0,0,
4,US-0000188-A,0,0,0,0,
5,US-0000203-A,0,0,0,0,
6,US-0000216-A,0,0,1,0,
7,US-0000254-A,0,0,0,0,
8,US-0000274-A,0,0,0,0,
9,US-0000297-A,0,0,0,0,
10,US-0000328-A,0,0,0,0,
11,US-0000364-A,0,0,0,0,
12,US-0000409-A,0,0,0,0,
13,US-0000432-A,0,0,0,0,
14,US-0000461-A,0,0,0,0,
15,US-0000481-A,0,0,0,0,
16,US-0000603-A,0,0,0,0,
17,US-0000610-A,0,0,0,0,
18,US-0000629-A,0,0,0,0,
19,US-0000677-A,0,0,1,0,
20,US-0000698-A,0,0,1,0,
21,US-0000707-A,0,0,0,0,
22,US-0000713-A,0,0,0,0,
23,US-0000747-A,0,0,0,0,
24,US-0000832-A,1,1,0,0,
25,US-0000847-A,0,0,0,0,
26,US-0000865-A,0,0,1,0,
27,US-0000960-A,0,0,0,0,
28,US-0001084-A,0,0,1,0,
29,US-0001106-A,0,0,0,0,
30,US-0001134-A,0,0,1,0,
31,US-0001141-A,0,0,0,0,
32,US-0001304-A,0,0,0,0,
33,US-0001422-A,0,0,0,0,
34,US-0001461-A,0,0,2,0,
35,US-0001544-A,0,0,1,0,
36,US-0001565-A,0,0,0,0,
37,US-0001611-A,0,0,0,0,
38,US-0001810-A,0,0,0,0,
39,US-0001958-A,0,0,1,0,
40,US-0002203-A,0,0,0,0,
41,US-0002441-A,0,0,0,0,
42,US-0002594-A,0,0,1,0,
43,US-0003115-A,0,0,0,0,
44,US-0003649-A,0,0,0,0,
45,US-0003685-A,0,0,2,0,
46,US-0003686-A,0,0,0,0,
47,US-0003998-A,0,0,0,0,
48,US-0004208-A,1,0,1,1,
49,US-0004960-A,0,0,0,0,
50,US-0005141-A,0,0,0,0,
51,US-0005146-A,0,0,0,0,
52,US-0005316-A,0,0,0,0,
53,US-0005402-A,0,0,1,0,
54,US-0005656-A,0,0,1,0,
55,US-0005763-A,0,0,1,0,
56,US-0005814-A,0,0,0,0,
57,US-0006090-A,0,0,0,0,
58,US-0006124-A,0,0,0,0,
59,US-0006136-A,0,0,0,0,
60,US-0006139-A,0,0,0,0,
61,US-0006453-A,0,0,1,0,
62,US-0006514-A,0,0,0,0,
63,US-0006537-A,0,0,0,0,
64,US-0006612-A,2,0,1,0,
65,US-0006663-A,0,0,2,0,
66,US-0006669-A,0,0,0,0,
67,US-0006723-A,0,0,0,0,
68,US-0006871-A,0,0,1,0,
69,US-0006925-A,0,1,0,0,
70,US-0006945-A,0,0,0,0,
71,US-0006960-A,0,0,0,0,
72,US-0006964-A,0,0,2,0,
73,US-0006966-A,0,0,0,0,
74,US-0006973-A,0,0,1,0,
75,US-0007218-A,0,0,1,0,
76,US-0007300-A,0,0,0,0,
77,US-0007334-A,0,0,0,0,
78,US-0007360-A,0,0,0,0,
79,US-0007443-A,0,0,1,0,
80,US-0007493-A,0,0,0,0,
81,US-0007496-A,0,0,0,0,
82,US-0007547-A,0,0,0,0,
83,US-0007596-A,0,0,0,0,
84,US-0007613-A,0,0,2,0,
85,US-0007629-A,0,0,0,0,
86,US-0007802-A,0,0,0,0,
87,US-0007887-A,0,0,0,0,
88,US-0007894-A,0,0,0,0,
89,US-0008126-A,0,0,1,0,
90,US-0008210-A,0,0,1,0,
91,US-0008229-A,0,0,0,0,
92,US-0008317-A,0,0,0,0,
93,US-0008412-A,0,0,0,0,
94,US-0008528-A,0,0,0,0,
95,US-0008637-A,0,0,0,0,
96,US-0008690-A,0,0,0,0,
97,US-0008762-A,0,0,1,1,
98,US-0008982-A,1,0,0,0,
99,US-0009308-A,0,0,0,0,
100,US-0009615-A,0,0,0,0,
101,US-0009694-A,0,0,0,0,
102,US-0009701-A,0,0,0,0,
103,US-0009922-A,0,0,0,0,
104,US-0009929-A,0,0,0,0,
105,US-0009934-A,0,0,0,0,
106,US-0009943-A,0,0,0,0,
107,US-0009950-A,0,0,0,0,
108,US-0009999-A,0,0,0,0,
109,US-0010084-A,0,0,0,0,
110,US-0010259-A,0,0,0,1,
111,US-0010391-A,0,0,0,0,
112,US-0010520-A,0,0,0,0,
113,US-0010535-A,0,0,0,0,
114,US-0010812-A,0,0,1,0,
115,US-0010821-A,0,0,0,0,
116,US-0010927-A,0,0,0,0,
117,US-0010930-A,0,0,0,0,
118,US-0010944-A,0,0,0,0,
119,US-0010950-A,0,0,0,0,
120,US-0011157-A,0,0,0,0,
121,US-0011197-A,0,0,0,0,
122,US-0011198-A,0,0,0,0,
123,US-0011218-A,0,0,0,0,
124,US-0011283-A,0,0,0,0,
125,US-0011419-A,0,0,0,0,
126,US-0011447-A,0,0,1,0,
127,US-0011470-A,0,0,0,0,
128,US-0011477-A,0,0,1,0,
129,US-0011483-A,0,0,0,1,
130,US-0011536-A,0,1,1,0,
131,US-0011678-A,0,0,1,0,
132,US-0011685-A,0,0,0,0,
133,US-0011698-A,0,0,0,0,
134,US-0011700-A,0,0,1,0,
135,US-0011715-A,0,0,0,0,
136,US-0011835-A,1,0,0,0,
137,US-0011862-A,0,0,0,0,
138,US-0011917-A,0,0,0,0,
139,US-0011938-A,0,0,0,0,
140,US-0012001-A,0,0,1,0,
141,US-0012124-A,0,0,0,0,
142,US-0012189-A,0,0,0,0,
143,US-0012230-A,0,0,0,0,
