full,F41,cate,subcate,subsubcate,guid,description
F41A1/00,F41,A,1,00,US-5341720-A,Missile propulsion characterised by the use of explosive or combustible propellant charges
F41A1/00,F41,A,1,00,US-5712442-A,Missile propulsion characterised by the use of explosive or combustible propellant charges
F41A1/00,F41,A,1,00,US-5303633-A,Missile propulsion characterised by the use of explosive or combustible propellant charges
F41A1/00,F41,A,1,00,US-5121670-A,Missile propulsion characterised by the use of explosive or combustible propellant charges
F41A1/00,F41,A,1,00,US-5578783-A,Missile propulsion characterised by the use of explosive or combustible propellant charges
F41A1/00,F41,A,1,00,US-5218161-A,Missile propulsion characterised by the use of explosive or combustible propellant charges
F41A1/00,F41,A,1,00,US-10378483-B2,Missile propulsion characterised by the use of explosive or combustible propellant charges
F41A1/00,F41,A,1,00,US-2507878-A,Missile propulsion characterised by the use of explosive or combustible propellant charges
F41A1/00,F41,A,1,00,US-20020029688-A1,Missile propulsion characterised by the use of explosive or combustible propellant charges
F41A1/00,F41,A,1,00,US-1338676-A,Missile propulsion characterised by the use of explosive or combustible propellant charges
F41A1/00,F41,A,1,00,US-6357357-B1,Missile propulsion characterised by the use of explosive or combustible propellant charges
F41A1/00,F41,A,1,00,US-5337649-A,Missile propulsion characterised by the use of explosive or combustible propellant charges
F41A1/00,F41,A,1,00,US-5194690-A,Missile propulsion characterised by the use of explosive or combustible propellant charges
F41A1/00,F41,A,1,00,US-6072400-A,Missile propulsion characterised by the use of explosive or combustible propellant charges
F41A1/00,F41,A,1,00,US-3249046-A,Missile propulsion characterised by the use of explosive or combustible propellant charges
F41A1/00,F41,A,1,00,US-20220082066-A1,Missile propulsion characterised by the use of explosive or combustible propellant charges
F41A1/00,F41,A,1,00,US-1416827-A,Missile propulsion characterised by the use of explosive or combustible propellant charges
F41A1/00,F41,A,1,00,US-5429030-A,Missile propulsion characterised by the use of explosive or combustible propellant charges
F41A1/00,F41,A,1,00,US-5789696-A,Missile propulsion characterised by the use of explosive or combustible propellant charges
F41A1/00,F41,A,1,00,US-6089139-A,Missile propulsion characterised by the use of explosive or combustible propellant charges
F41A1/00,F41,A,1,00,US-20180093173-A1,Missile propulsion characterised by the use of explosive or combustible propellant charges
F41A1/00,F41,A,1,00,US-6671989-B2,Missile propulsion characterised by the use of explosive or combustible propellant charges
F41A1/02,F41,A,1,02,US-3418878-A,"Hypervelocity missile propulsion using successive means for increasing the propulsive force, e.g. using successively initiated propellant charges arranged along the barrel length"
F41A1/02,F41,A,1,02,US-20060124020-A1,"Hypervelocity missile propulsion using successive means for increasing the propulsive force, e.g. using successively initiated propellant charges arranged along the barrel length"
F41A1/02,F41,A,1,02,US-7047885-B1,"Hypervelocity missile propulsion using successive means for increasing the propulsive force, e.g. using successively initiated propellant charges arranged along the barrel length"
F41A1/02,F41,A,1,02,US-4938112-A,"Hypervelocity missile propulsion using successive means for increasing the propulsive force, e.g. using successively initiated propellant charges arranged along the barrel length"
F41A1/02,F41,A,1,02,US-3388633-A,"Hypervelocity missile propulsion using successive means for increasing the propulsive force, e.g. using successively initiated propellant charges arranged along the barrel length"
F41A1/02,F41,A,1,02,US-9500419-B2,"Hypervelocity missile propulsion using successive means for increasing the propulsive force, e.g. using successively initiated propellant charges arranged along the barrel length"
F41A1/02,F41,A,1,02,US-3054329-A,"Hypervelocity missile propulsion using successive means for increasing the propulsive force, e.g. using successively initiated propellant charges arranged along the barrel length"
F41A1/02,F41,A,1,02,US-7814835-B2,"Hypervelocity missile propulsion using successive means for increasing the propulsive force, e.g. using successively initiated propellant charges arranged along the barrel length"
F41A1/02,F41,A,1,02,US-3809048-A,"Hypervelocity missile propulsion using successive means for increasing the propulsive force, e.g. using successively initiated propellant charges arranged along the barrel length"
F41A1/02,F41,A,1,02,US-7707941-B2,"Hypervelocity missile propulsion using successive means for increasing the propulsive force, e.g. using successively initiated propellant charges arranged along the barrel length"
F41A1/02,F41,A,1,02,US-20170030143-A1,"Hypervelocity missile propulsion using successive means for increasing the propulsive force, e.g. using successively initiated propellant charges arranged along the barrel length"
F41A1/02,F41,A,1,02,US-5322002-A,"Hypervelocity missile propulsion using successive means for increasing the propulsive force, e.g. using successively initiated propellant charges arranged along the barrel length"
F41A1/02,F41,A,1,02,US-0200740-A,"Hypervelocity missile propulsion using successive means for increasing the propulsive force, e.g. using successively initiated propellant charges arranged along the barrel length"
F41A1/02,F41,A,1,02,US-10557308-B2,"Hypervelocity missile propulsion using successive means for increasing the propulsive force, e.g. using successively initiated propellant charges arranged along the barrel length"
F41A1/02,F41,A,1,02,US-3357306-A,"Hypervelocity missile propulsion using successive means for increasing the propulsive force, e.g. using successively initiated propellant charges arranged along the barrel length"
F41A1/02,F41,A,1,02,US-9664142-B1,"Hypervelocity missile propulsion using successive means for increasing the propulsive force, e.g. using successively initiated propellant charges arranged along the barrel length"
F41A1/02,F41,A,1,02,US-20140260930-A1,"Hypervelocity missile propulsion using successive means for increasing the propulsive force, e.g. using successively initiated propellant charges arranged along the barrel length"
F41A1/02,F41,A,1,02,US-5016518-A,"Hypervelocity missile propulsion using successive means for increasing the propulsive force, e.g. using successively initiated propellant charges arranged along the barrel length"
F41A1/02,F41,A,1,02,US-20160238361-A1,"Hypervelocity missile propulsion using successive means for increasing the propulsive force, e.g. using successively initiated propellant charges arranged along the barrel length"
F41A1/02,F41,A,1,02,US-7464649-B2,"Hypervelocity missile propulsion using successive means for increasing the propulsive force, e.g. using successively initiated propellant charges arranged along the barrel length"
F41A1/02,F41,A,1,02,US-5131313-A,"Hypervelocity missile propulsion using successive means for increasing the propulsive force, e.g. using successively initiated propellant charges arranged along the barrel length"
F41A1/02,F41,A,1,02,US-20160341514-A1,"Hypervelocity missile propulsion using successive means for increasing the propulsive force, e.g. using successively initiated propellant charges arranged along the barrel length"
F41A1/02,F41,A,1,02,US-2397800-A,"Hypervelocity missile propulsion using successive means for increasing the propulsive force, e.g. using successively initiated propellant charges arranged along the barrel length"
F41A1/02,F41,A,1,02,US-3411403-A,"Hypervelocity missile propulsion using successive means for increasing the propulsive force, e.g. using successively initiated propellant charges arranged along the barrel length"
F41A1/02,F41,A,1,02,US-2485601-A,"Hypervelocity missile propulsion using successive means for increasing the propulsive force, e.g. using successively initiated propellant charges arranged along the barrel length"
