id,content,response
US-0000147-A,"Title: Improvement in the Construction and Mode of Loading Fire-Arms
Authors: Thomas McCarty
Invention_Date: March 11, 1837
City: Elmira",
US-0000168-A,"Title: IMPROVEMENT IN FIRE-ARMS
Authors: ELIJAH FISHER, DEXTER H. CHAMBERLAIN
Invention_Date: April 17, 1837
City: SPRINGFIELD & BOSTON, MASS",
US-0000182-A,"Title: Improvement in Many-Chambered-Cylinder Fire-Arms
Authors: Daniel Leavitt
Invention_Date: April 29, 1837
City: Cabotville, Massachusetts",
US-0000183-A,"Title: IMPROVEMENT IN MANY-CHAMBERED-CYLINDER FIRE-ARMS.
Authors: JOHN W. COCHRAN
Invention_Date: April 29, 1837
City: New York",
US-0000188-A,"Title: IMPROVEMENT IN MANY-CHAMBERED-CYLINDER FIRE-ARMS
Authors: JOHN W. COCHRAN
Invention_Date: April 28, 1857
City: New York",
US-0000203-A,"Title: Improvement in Fire-Arms and Ordnance
Authors: Henry C. Fay
Invention_Date: May 22, 1837
City: Lancaster, Massachusetts",
US-0000216-A,"Title: Improvement in Many-Chambered-Cylinder Fire-Arms
Authors: Otis W. Whittier
Invention_Date: May 30, 1837
City: Enfield, New Hampshire",
US-0000254-A,"Title: Improvement in the Pistol Knife or Cutlass
Authors: Geo. Elgin
Invention_Date: July 5, 1837
City: New York",
US-0000274-A,"Title: Lock for Fire-arm.
Authors: Ethan S. Chapin.
Invention_Date: July 17, 1837.
City: Stafford Springs, Connecticut.",
US-0000297-A,"Title: Breech-Loading Fire-Arm
Authors: Henry Harrington
Invention_Date: July 29, 1837
City: Southbridge",
US-0000328-A,"Title: IMPROVED MODE OF ATTACHING KNIVES OR DIRKS TO PISTOLS.
Authors: Robert W. Andrews
Invention_Date: July 29, 1837
City: Stafford, Connecticut",
US-0000364-A,"Title: Improvement In Self Loading And Priming Fire-Arms
Authors: Silas Day
Invention_Date: August 31, 1837
City: New York",
US-0000409-A,"Title: Improvement in Many-Chambered Fire-Arms
Authors: Curtis Parkhurst
Invention_Date: September 25, 1837
City: Lawrenceville, Pennsylvania",
US-0000432-A,"Title: Improvement in Gun-Carriages to be used on board of ships of war.
Authors: John Bubier
Invention_Date: October 20, 1837
City: Marblehead, Massachusetts",
